@relation GermanCredit-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute RESPONSE {0,1}

@data
1107135.394636,2160001.021091,1379251.708217,-871974.883202,1331228.139824,892222.355582,2050304.524341,-981987.182599,1468775.73248,879951.204492,0
915425.294004,1779252.322547,1140481.581546,-726324.00001,1091886.609792,734644.671408,1680320.20158,-805786.931277,1202777.501542,719511.880211,0
974538.054639,1900810.783247,1214862.280332,-767351.749387,1171637.097092,784960.714296,1803623.175057,-863355.101833,1291411.781302,773869.784444,0
246534.600328,474772.525466,304405.021234,-196352.149146,287668.878081,197135.218671,445545.859228,-214708.575946,319431.623553,187972.302403,0
804342.215557,1564848.925984,998222.293811,-634199.000725,959753.850848,647504.507629,1483014.694064,-711781.487219,1063426.06227,633157.491289,0
238568.703104,449477.146209,290716.256459,-195480.249388,263842.942202,188383.68778,412394.245257,-201685.447172,296142.355423,169045.79865,0
245390.856976,470538.383744,301188.16497,-195586.717286,282808.51597,196239.133079,440517.25121,-213107.941016,316264.430841,184120.554048,0
2333595.950805,4564641.675773,2918205.231149,-1833032.156073,2825153.193249,1879877.65952,4339290.121228,-2071791.412071,3104190.394476,1870613.067754,0
1280189.458534,2487820.551396,1589601.28333,-1010890.312669,1524143.514929,1028509.763491,2353658.864241,-1129110.419849,1686592.177405,1004506.917082,0
882240.86562,1718635.524236,1094757.116161,-691036.382461,1055695.835541,710990.771535,1632516.48928,-781919.603685,1170259.637994,696836.348849,0
396255.802265,765107.629311,488646.555204,-311462.987087,464525.03604,317253.310266,721360.291528,-346230.461016,517038.225146,304214.406385,0
1149355.822092,2233634.064565,1426334.930788,-904765.447959,1368300.381729,923365.642884,2114563.246445,-1013482.358364,1515047.159321,901590.489658,0
424235.757803,812494.824187,518084.135103,-334739.006167,486744.041329,338234.785833,761975.654036,-367615.030803,547411.488349,316774.432614,0
1203104.253314,2346622.244955,1499346.332851,-942234.76341,1445954.473463,966981.050904,2227693.581357,-1063407.880905,1593753.865156,955080.450924,0
1153526.883328,2252259.706944,1434128.482097,-899847.460384,1387851.741597,929589.599585,2143760.992579,-1024139.688515,1535701.404417,917778.271225,0
374092.745626,713069.05833,454389.482104,-294695.615362,423942.085652,297624.506447,667120.620893,-322432.03339,479572.489926,274479.464956,0
2665493.736627,5218012.694245,3328201.341905,-2084591.869772,3229500.874656,2149369.309351,4969428.450809,-2371326.712617,3556774.410093,2140611.606388,0
342560.647458,657206.872047,415820.543808,-265317.350079,393556.909067,274009.528625,620467.959788,-298515.908188,446361.940309,256431.010971,0
370755.009794,713370.785641,451375.714188,-286262.077654,428990.033479,296906.96276,675074.780688,-324102.184616,485241.446853,280121.996896,0
736677.286837,1431729.032429,909174.679286,-572448.802538,874903.230782,592451.17785,1360569.228637,-651099.791981,975909.585127,576531.014405,0
1103246.143927,2150898.67158,1370413.043067,-859992.37975,1322685.929734,887065.899737,2044386.597987,-975885.017475,1463876.858389,873837.807145,0
2334555.722031,4565456.831814,2912229.858986,-1824201.151841,2821561.321864,1880258.884764,4345183.59601,-2072873.696545,3109668.244246,1868527.304849,0
205321.569476,394248.639486,246418.030619,-152631.85764,234881.80048,163985.477771,375692.707218,-178904.01492,270258.233738,153187.863031,0
148763.762227,282361.391849,175216.296124,-108115.068008,164816.259982,118263.516763,268358.941898,-127682.243677,193343.333617,106283.293973,0
2954116.090666,5774635.89898,3684084.837038,-2311895.01395,3566538.755426,2379268.62045,5493211.615826,-2622486.147045,3931994.562221,2361335.6689,0
2205783.903126,4316174.73131,2751484.00227,-1718938.48826,2669424.893811,1777339.517623,4112097.208482,-1960075.523239,2942611.067382,1768232.994919,0
1194047.249617,2331572.957618,1483625.782944,-925780.125189,1436902.879685,961068.673003,2221309.297706,-1058465.805208,1590335.581162,950063.862388,0
1448975.112826,2832128.471412,1800563.239814,-1123605.906636,1746698.525672,1168121.213078,2700591.806205,-1287625.35308,1934204.906233,1156194.458165,0
1323315.225578,2584943.383662,1642116.379732,-1024673.995059,1592177.218195,1066404.709911,2465272.248035,-1175649.112341,1766173.012896,1053299.216073,0
787601.427523,1536409.744947,971640.958674,-603688.936571,942432.242541,634333.436294,1467792.169764,-699139.518105,1052572.469692,623239.525606,0
336093.568736,651017.786268,407202.917552,-249684.525643,393686.558225,270068.786857,623986.870977,-296276.558166,448432.091007,258622.443322,0
352825.290652,683181.129094,427627.831552,-262749.556029,412645.21984,282981.341586,654232.595145,-310718.694369,470082.346703,271063.691158,0
115601.440448,218520.79357,131235.468021,-76534.474938,125044.773313,91699.809959,211586.893388,-99139.231823,153117.461076,80391.035744,0
643458.935957,1254328.516693,793112.735279,-490190.895065,768553.074146,517610.98119,1198594.358721,-569598.472342,858814.622697,507644.894999,0
1269397.03697,2479586.307185,1574042.109644,-980957.072786,1526467.405755,1022648.209686,2365487.10474,-1127378.124023,1694712.79958,1010186.626671,0
147822.933394,272659.509406,168615.65954,-105849.854731,151250.843685,114625.163899,254693.472123,-121417.671211,183775.539385,94672.081465,0
448302.543731,873334.057408,547099.98062,-333474.300709,532432.067617,360744.976737,839321.257498,-397515.818957,602350.03356,351583.300657,0
229311.78157,444340.315388,272054.952335,-159911.662822,266235.016377,183965.919988,431905.477121,-202540.957668,311023.896945,175206.404513,0
203907.44647,390711.968661,237905.552779,-140611.075456,229286.489842,162715.759067,378261.368172,-177869.01866,272941.110708,149348.220698,0
352262.770111,680591.204503,422245.661754,-256342.586547,408657.833738,282997.969138,654696.132364,-310154.144025,471268.61871,267944.110774,0
170545.375755,325265.537964,195968.758079,-114258.386484,188580.392678,135801.835579,315996.1841,-148109.583423,228428.736715,122368.863631,0
375528.441945,726463.651968,451504.272565,-274095.728366,437004.130596,301285.668426,698677.395318,-330799.338192,502537.760429,286811.271273,0
622751.054011,1214214.894243,762442.16905,-466798.894701,741806.667312,501204.853543,1165376.426083,-552532.020346,836114.432724,490417.130784,0
1382113.647949,2695416.845731,1711209.704613,-1066065.912474,1655662.790895,1111788.463708,2569168.449224,-1223890.00597,1840271.031901,1093922.198086,0
1760383.009099,3443776.911096,2185658.509237,-1358146.403206,2124636.144546,1419110.78152,3289250.373658,-1565906.397285,2355880.265676,1407797.889492,0
816092.086779,1589863.370992,1001433.015824,-617741.599169,972304.598442,657261.210228,1522376.73137,-723771.083819,1092360.242978,641887.158022,0
299698.832229,577313.901652,356292.351519,-214370.448937,343670.317111,239841.277009,555977.235266,-262533.498109,400243.871177,224916.265997,0
157484.490288,298751.696298,177881.343061,-101756.644257,171315.450516,125283.929072,291591.862348,-136068.458791,211225.053907,110509.078686,0
951122.703485,1847477.325389,1171743.042446,-728967.794628,1127960.173042,761878.789383,1758066.726206,-836232.846346,1259162.86809,742674.486368,0
112960.841042,217231.192295,124242.845485,-63360.046165,125022.093902,90692.250164,219353.129919,-99947.670807,159161.956899,81662.838161,0
845866.169469,1644383.223156,1038561.689009,-642894.790033,1003219.030971,679085.174954,1569914.127976,-746478.180431,1125556.789217,660969.997734,0
703750.774023,1367565.405763,857793.395477,-529145.150376,831125.045446,566424.492697,1310248.611262,-623461.807492,941458.266113,547891.081406,0
716527.712649,1394845.83211,877048.098383,-538817.317041,851146.865796,576410.957392,1336553.127727,-634416.651499,958946.517172,561646.83486,0
550084.885043,1069613.682788,666241.475648,-406334.05252,648988.272749,443405.960692,1029857.834696,-488700.402053,740868.105904,428166.989827,0
268689.564205,518959.827036,317987.853554,-186273.699912,309804.020044,214999.022225,503880.014987,-235935.677779,362590.958861,202876.476782,0
166597.010282,319242.336711,189054.960944,-105369.740262,185854.364513,133003.759739,314896.582533,-145886.622828,228011.919469,121039.498593,0
786630.722239,1532718.28022,965437.46568,-592961.461887,937429.43359,632650.150786,1468440.118517,-696694.665224,1052917.744269,618747.223671,0
154955.13364,298706.684651,174968.584571,-94560.53824,174366.268312,124216.327819,297534.242453,-136970.133163,215478.477159,114323.702368,0
973341.00089,1894964.251047,1196200.376977,-739872.690886,1157911.385761,781951.440651,1810603.295604,-860593.55177,1298188.394689,764463.230931,0
352486.338834,672557.469806,416533.49051,-255435.442308,395260.249564,280293.780455,642092.828746,-304804.731199,462663.429349,256392.790957,0
2011709.045646,3936564.144474,2495646.179076,-1546914.836985,2428884.095847,1622056.084797,3763994.606244,-1790740.086133,2696271.128979,1609470.001343,0
1446012.890941,2824800.059271,1790588.634181,-1107095.734954,1738435.681415,1163433.213106,2699433.592956,-1282438.116242,1932760.602068,1149854.001369,0
258459.662943,502562.195453,303484.231421,-171658.124288,300920.197135,208050.933377,494417.572697,-229732.3445,356171.49339,198403.095323,0
