@relation GermanCredit-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute RESPONSE {0,1}

@data
-260148790.259772,-1400047160.347342,-680285068.548078,201155854.576311,-1810711599.104595,-438152706.67627,-1963025356.215787,828989751.474932,-1517377097.76145,-1641322016.245947,0
-218136145.866547,-1154818312.230833,-563780092.068871,171965237.074491,-1487065859.018358,-364551618.264296,-1612689771.475645,683196697.825689,-1246386389.811792,-1346285639.9691,0
-229111455.219794,-1231923005.379593,-598667342.968993,177253583.888788,-1592841522.877453,-385734214.481178,-1726945703.184198,729400284.668982,-1334888208.408395,-1443790254.604926,0
-60356785.777749,-309359749.244776,-152322310.14098,49298083.492424,-394579602.901954,-99106123.330883,-428473222.699975,182605329.975193,-331058278.425044,-356521740.324875,0
-190565131.013196,-1015501425.522301,-494704545.887539,149033565.145661,-1309711467.162089,-319243907.901053,-1420431298.508786,600906257.876109,-1097867429.673673,-1186475972.410287,0
-62930404.424183,-296116956.134159,-149489519.844422,56013778.956729,-367950431.208502,-98961079.440112,-400626516.788878,173771013.787165,-309305162.487514,-330292600.021298,0
-60957400.457994,-307345889.616609,-151969202.12186,50636737.001251,-390036905.305353,-99148507.348408,-423864420.410694,181185211.776059,-327461907.482841,-352074461.018104,0
-542598140.05619,-2952819170.610354,-1430454051.988387,413460522.393992,-3830766591.976832,-920034887.334694,-4151635062.294261,1749854297.656775,-3209355937.165829,-3474608440.214721,0
-304173609.238065,-1614328911.199977,-787325843.376415,238858955.162136,-2079810646.424991,-508797175.961433,-2255874826.759143,955117234.427,-1743500480.126704,-1883462721.515057,0
-207331938.116497,-1113813558.22986,-541172356.324148,160310566.121481,-1439418720.924888,-348770703.226969,-1561140142.593923,659381911.725916,-1206696321.01806,-1304835294.798442,0
