@relation 'AT: credit_rating_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '-0.5310.521v21-0.319v18+0.277v14-0.256v13+0.234v7...+0.4620.577v23-0.43v22+0.311v28-0.306v30-0.271v13...-0.312-0.549v1-0.479v6-0.316v21+0.248v17+0.225v29...+0.26 0.481v13-0.405v12-0.277v27+0.25 v21-0.225v14...-0.207-0.439v12-0.417v24+0.386v30-0.341v3-0.239v4......' numeric
@attribute '0.6280.548v20-0.397v16+0.342v29+0.316v2+0.208v18...+0.4940.398v4-0.391v28+0.342v30-0.329v21-0.322v22...+0.3060.428v15-0.35v20+0.341v31+0.34 v28+0.279v29...-0.2210.479v24+0.381v8-0.291v31-0.279v14-0.274v9...-0.2090.475v24+0.382v28-0.299v15-0.271v3+0.26 v7......' numeric
@attribute '-0.37-0.549v1-0.479v6-0.316v21+0.248v17+0.225v29...-0.3260.45 v17+0.397v18-0.377v19+0.292v6-0.287v30...+0.322-0.601v10-0.328v15-0.284v27+0.258v6-0.244v21...-0.3170.388v7+0.371v29-0.348v5+0.306v16-0.275v4...+0.275-0.485v1-0.416v31+0.279v19-0.265v8+0.243v18......' numeric
@attribute '-0.4190.521v9+0.347v31-0.345v6+0.331v18+0.326v19...+0.3650.428v15-0.35v20+0.341v31+0.34 v28+0.279v29...+0.362-0.455v7+0.323v19-0.296v9-0.29v15+0.285v17...+0.3130.45 v17+0.397v18-0.377v19+0.292v6-0.287v30...-0.3020.388v7+0.371v29-0.348v5+0.306v16-0.275v4......' numeric
@attribute '-0.411-0.446v29-0.344v13+0.338v31-0.306v12-0.262v1...-0.3450.526v2+0.375v19+0.279v1+0.238v22-0.224v21...-0.3440.475v24+0.382v28-0.299v15-0.271v3+0.26 v7...+0.3340.386v25-0.319v23-0.317v16-0.305v26-0.292v13...-0.320.518v8-0.463v5+0.36 v14-0.338v31-0.226v27......' numeric
@attribute '-0.6270.394v18-0.331v9+0.287v7-0.274v10-0.249v12...+0.311-0.446v29-0.344v13+0.338v31-0.306v12-0.262v1...-0.2740.386v25-0.319v23-0.317v16-0.305v26-0.292v13...-0.2570.548v20-0.397v16+0.342v29+0.316v2+0.208v18...+0.2410.45 v17+0.397v18-0.377v19+0.292v6-0.287v30......' numeric
@attribute '-0.386-0.485v1-0.416v31+0.279v19-0.265v8+0.243v18...+0.345-0.439v12-0.417v24+0.386v30-0.341v3-0.239v4...+0.3150.45 v17+0.397v18-0.377v19+0.292v6-0.287v30...-0.312-0.39v22-0.353v11+0.289v26-0.283v3+0.278v21...-0.2950.421v2-0.377v15+0.327v18-0.321v19-0.244v23......' numeric
@attribute '-0.4240.577v23-0.43v22+0.311v28-0.306v30-0.271v13...+0.3520.428v15-0.35v20+0.341v31+0.34 v28+0.279v29...-0.347-0.549v1-0.479v6-0.316v21+0.248v17+0.225v29...+0.337-0.39v22-0.353v11+0.289v26-0.283v3+0.278v21...+0.2540.475v24+0.382v28-0.299v15-0.271v3+0.26 v7......' numeric
@attribute '-0.4820.421v2-0.377v15+0.327v18-0.321v19-0.244v23...+0.3840.479v24+0.381v8-0.291v31-0.279v14-0.274v9...+0.3080.518v8-0.463v5+0.36 v14-0.338v31-0.226v27...-0.2860.521v9+0.347v31-0.345v6+0.331v18+0.326v19...-0.261-0.601v10-0.328v15-0.284v27+0.258v6-0.244v21......' numeric
@attribute '-0.471-0.389v26-0.36v11+0.348v20+0.331v25-0.307v3...-0.352-0.439v12-0.417v24+0.386v30-0.341v3-0.239v4...+0.32 0.428v15-0.35v20+0.341v31+0.34 v28+0.279v29...+0.314-0.363v1+0.333v2+0.285v25-0.285v5+0.284v4...+0.3  -0.601v10-0.328v15-0.284v27+0.258v6-0.244v21......' numeric
@attribute '0.569-0.363v1+0.333v2+0.285v25-0.285v5+0.284v4...+0.3230.386v25-0.319v23-0.317v16-0.305v26-0.292v13...+0.316-0.389v26-0.36v11+0.348v20+0.331v25-0.307v3...-0.3030.479v24+0.381v8-0.291v31-0.279v14-0.274v9...-0.3030.481v13-0.405v12-0.277v27+0.25 v21-0.225v14......' numeric
@attribute 0.418-0.39v22-0.353v11+0.289v26-0.283v3+0.278v21...-0.3820.386v25-0.319v23-0.317v16-0.305v26-0.292v13...+0.349-0.389v26-0.36v11+0.348v20+0.331v25-0.307v3...+0.3470.373v18-0.361v27+0.349v12-0.284v6-0.278v9...-0.294-0.439v12-0.417v24+0.386v30-0.341v3-0.239v4...... numeric
@attribute '-0.4820.475v24+0.382v28-0.299v15-0.271v3+0.26 v7...+0.3250.479v24+0.381v8-0.291v31-0.279v14-0.274v9...+0.31 0.421v2-0.377v15+0.327v18-0.321v19-0.244v23...+0.306-0.439v12-0.417v24+0.386v30-0.341v3-0.239v4...-0.2630.373v18-0.361v27+0.349v12-0.284v6-0.278v9......' numeric
@attribute '-0.4680.526v2+0.375v19+0.279v1+0.238v22-0.224v21...+0.404-0.601v10-0.328v15-0.284v27+0.258v6-0.244v21...+0.3690.518v8-0.463v5+0.36 v14-0.338v31-0.226v27...+0.3620.388v7+0.371v29-0.348v5+0.306v16-0.275v4...+0.25 -0.389v26-0.36v11+0.348v20+0.331v25-0.307v3......' numeric
@attribute '-0.395-0.446v29-0.344v13+0.338v31-0.306v12-0.262v1...-0.3530.481v13-0.405v12-0.277v27+0.25 v21-0.225v14...+0.3490.518v8-0.463v5+0.36 v14-0.338v31-0.226v27...-0.32-0.439v12-0.417v24+0.386v30-0.341v3-0.239v4...-0.311-0.485v1-0.416v31+0.279v19-0.265v8+0.243v18......' numeric
@attribute '0.4050.373v18-0.361v27+0.349v12-0.284v6-0.278v9...-0.390.428v15-0.35v20+0.341v31+0.34 v28+0.279v29...+0.316-0.455v7+0.323v19-0.296v9-0.29v15+0.285v17...-0.256-0.389v26-0.36v11+0.348v20+0.331v25-0.307v3...-0.242-0.485v1-0.416v31+0.279v19-0.265v8+0.243v18......' numeric
@attribute '0.5030.373v18-0.361v27+0.349v12-0.284v6-0.278v9...+0.4370.521v9+0.347v31-0.345v6+0.331v18+0.326v19...-0.344-0.39v22-0.353v11+0.289v26-0.283v3+0.278v21...+0.31 -0.485v1-0.416v31+0.279v19-0.265v8+0.243v18...-0.294-0.601v10-0.328v15-0.284v27+0.258v6-0.244v21......' numeric
@attribute '-0.3760.479v24+0.381v8-0.291v31-0.279v14-0.274v9...-0.3160.386v25-0.319v23-0.317v16-0.305v26-0.292v13...-0.2860.475v24+0.382v28-0.299v15-0.271v3+0.26 v7...-0.268-0.549v1-0.479v6-0.316v21+0.248v17+0.225v29...-0.2660.548v20-0.397v16+0.342v29+0.316v2+0.208v18......' numeric
@attribute '0.407-0.363v1+0.333v2+0.285v25-0.285v5+0.284v4...-0.3490.45 v17+0.397v18-0.377v19+0.292v6-0.287v30...-0.3250.521v21-0.319v18+0.277v14-0.256v13+0.234v7...+0.319-0.549v1-0.479v6-0.316v21+0.248v17+0.225v29...-0.288-0.446v29-0.344v13+0.338v31-0.306v12-0.262v1......' numeric
@attribute '-0.3970.518v8-0.463v5+0.36 v14-0.338v31-0.226v27...+0.3690.479v24+0.381v8-0.291v31-0.279v14-0.274v9...-0.3540.386v25-0.319v23-0.317v16-0.305v26-0.292v13...+0.3360.388v7+0.371v29-0.348v5+0.306v16-0.275v4...-0.305-0.485v1-0.416v31+0.279v19-0.265v8+0.243v18......' numeric
@attribute '0.3980.475v24+0.382v28-0.299v15-0.271v3+0.26 v7...+0.3140.481v13-0.405v12-0.277v27+0.25 v21-0.225v14...-0.295-0.601v10-0.328v15-0.284v27+0.258v6-0.244v21...+0.2880.421v2-0.377v15+0.327v18-0.321v19-0.244v23...+0.2820.45 v17+0.397v18-0.377v19+0.292v6-0.287v30......' numeric
@attribute -0.4360.521v9+0.347v31-0.345v6+0.331v18+0.326v19...-0.401-0.455v7+0.323v19-0.296v9-0.29v15+0.285v17...+0.3790.526v2+0.375v19+0.279v1+0.238v22-0.224v21...+0.3070.388v7+0.371v29-0.348v5+0.306v16-0.275v4...-0.282-0.439v12-0.417v24+0.386v30-0.341v3-0.239v4...... numeric
@attribute '0.4020.394v18-0.331v9+0.287v7-0.274v10-0.249v12...-0.3930.421v2-0.377v15+0.327v18-0.321v19-0.244v23...+0.29 0.45 v17+0.397v18-0.377v19+0.292v6-0.287v30...+0.281-0.389v26-0.36v11+0.348v20+0.331v25-0.307v3...-0.265-0.439v12-0.417v24+0.386v30-0.341v3-0.239v4......' numeric
@attribute -0.4430.577v23-0.43v22+0.311v28-0.306v30-0.271v13...+0.357-0.549v1-0.479v6-0.316v21+0.248v17+0.225v29...-0.325-0.485v1-0.416v31+0.279v19-0.265v8+0.243v18...-0.283-0.39v22-0.353v11+0.289v26-0.283v3+0.278v21...+0.271-0.446v29-0.344v13+0.338v31-0.306v12-0.262v1...... numeric
@attribute '0.5980.398v4-0.391v28+0.342v30-0.329v21-0.322v22...-0.368-0.601v10-0.328v15-0.284v27+0.258v6-0.244v21...-0.2760.577v23-0.43v22+0.311v28-0.306v30-0.271v13...-0.2540.481v13-0.405v12-0.277v27+0.25 v21-0.225v14...+0.2210.394v18-0.331v9+0.287v7-0.274v10-0.249v12......' numeric
@attribute v32 numeric

@data
-0.008662,0.358013,-0.696221,0.018335,0.773999,0.286007,-1.049979,-0.728142,0.757481,1.193044,-0.621409,-0.071357,0.371777,-0.073774,-1.079504,1.272981,-0.842034,1.365453,-0.570932,-1.748654,0.318135,-0.608014,0.278261,0.99294,-1.403081,0
-1.454203,0.142665,0.143315,1.158513,0.516813,0.020217,0.100718,-2.67074,0.04534,-0.435848,0.173312,0.106483,0.516251,0.02408,-1.22545,-1.807171,0.457536,-0.88766,-0.578565,0.745518,0.134367,-0.548838,0.346598,1.020829,-0.576864,0
-1.092177,0.298704,-0.602436,1.836054,-0.854132,0.140043,0.080141,-2.400489,-1.233194,1.665756,1.127832,1.261725,-0.255615,-1.633408,-0.154246,-0.769829,-1.044771,-1.730765,0.466194,-1.419198,0.630969,-1.17371,-1.091357,-0.527787,-0.512147,0
0.642169,0.024711,0.207836,1.828086,0.384191,0.250311,-0.680726,0.631753,0.312215,0.577106,0.29073,0.29849,0.326186,0.037275,-1.444182,-1.216457,-0.476721,-1.045972,0.52403,-0.934425,-0.401914,0.262002,-1.340613,-0.568866,-0.583686,0
1.699579,1.349145,-1.801065,0.63388,0.247103,-0.431356,-0.890113,-0.986239,0.634765,-0.573627,1.194157,-0.515223,-0.377266,0.044259,-1.29606,-0.284455,0.615823,-0.11983,0.119721,-1.623949,0.303526,-0.213029,-1.785608,1.14194,0.794604,0
1.249219,0.106469,0.512832,1.019608,-0.153464,0.994363,0.701652,-2.24781,-0.44068,-0.787638,-0.749284,2.169258,0.700881,0.322007,-1.122674,-1.171435,-0.338409,0.056677,0.153479,-0.030901,-0.275295,0.404664,-0.044739,0.599481,1.4196,0
0.211673,-0.027161,-1.218438,0.745659,-0.065552,0.727746,-0.454697,-0.472546,0.742071,0.348918,-0.351841,0.707511,0.830635,1.879437,-0.081538,0.101214,-0.523901,-0.257181,-0.159289,-0.823477,-0.921834,0.027227,-0.37285,0.901753,0.288495,0
-1.173449,0.155087,1.305934,0.962843,-1.440082,0.55943,1.36104,-0.439625,1.623534,1.364687,1.467672,-1.618924,-0.093992,-0.008835,-1.045711,0.217643,0.45993,0.989116,-0.632632,-1.172563,0.122782,1.0449,0.450927,-0.308867,-0.284182,0
-0.160264,-0.299368,-1.071139,-0.179044,-1.174798,0.528272,0.904406,-2.71463,0.177824,-1.0865,-0.368599,-0.142496,0.08596,-0.614312,-1.185279,0.18228,1.90663,1.233931,0.257628,-0.630415,0.108131,-0.110788,-0.722529,1.837143,1.883926,0
0.181489,0.820826,-1.780975,0.682942,-0.974886,0.715277,-1.624103,-1.396425,-0.807398,1.108673,-0.746694,0.738146,1.363988,1.107221,-0.323562,0.0636,-0.994137,0.613686,0.023241,-0.447046,-0.359452,-0.538087,0.006882,1.050791,1.436426,0
0.912935,0.169269,-0.465365,0.654528,-0.640676,-0.287924,-0.412094,1.026579,0.561482,0.973756,-1.614589,1.288967,1.733215,0.572076,-1.208394,1.817851,1.909748,-1.138933,-3.113823,-0.212457,1.598895,-0.000239,0.609966,-1.4707,-0.85892,0
0.410779,0.373751,1.140861,0.534111,-1.228242,2.289599,0.054025,-2.054383,0.784734,0.486873,1.692054,-0.075097,0.638398,0.868087,-0.505342,0.629046,-0.125388,-0.297741,-1.583901,-0.621802,1.697794,1.254741,1.83619,1.620712,2.406985,0
-0.709422,-0.580278,1.744414,0.508868,-0.828173,0.606484,0.841409,-0.845613,0.116342,-0.081888,-0.739945,1.098212,-0.293865,0.399379,-1.057044,-0.154681,0.621292,-0.564137,-0.505162,0.144449,1.50047,0.292251,-0.534082,1.83425,1.366421,0
-1.388312,-2.344799,-0.255768,-0.573336,-1.135349,0.350839,0.297322,-0.763347,1.008632,1.571921,-0.164504,-0.398425,0.668855,0.88521,-0.142756,0.692973,1.039561,-0.334621,0.366363,1.164519,-2.098267,-1.372439,-0.979775,-0.982227,-1.178826,0
-1.259723,0.499473,-1.219952,0.556697,0.480288,-2.204018,-0.775904,0.386418,-1.705734,1.476947,1.589362,1.090449,2.194258,1.021477,-1.949174,0.374816,2.63188,-1.079419,-1.451764,-0.601509,0.54348,0.324179,0.523309,1.479036,2.85012,0
-0.510687,-0.564574,-0.634789,0.230732,-1.520416,-0.363735,1.900434,-0.781751,2.05287,-2.213524,0.183145,-0.477672,-1.072645,-0.336187,-1.104428,0.058438,2.220607,0.419011,-0.560396,-0.39362,-0.263674,0.364509,-1.790155,0.86987,-0.34444,0
0.772901,-0.021661,-1.47747,0.031608,-0.346617,-0.252294,-0.653975,-1.462744,0.201753,-0.138121,-1.25353,-2.390759,-0.332873,-0.440465,-1.87299,0.842774,0.938014,1.032402,1.007749,-1.075622,-0.325475,0.058576,-2.045804,0.441386,-0.104159,0
-0.313088,0.901631,1.114719,-1.911139,-1.80734,1.206827,0.416003,1.222142,-1.15371,-0.279956,0.378956,-0.470302,0.503456,1.164168,-0.934597,-0.109591,0.781258,-0.823786,-1.019315,-0.783316,1.203273,-0.20838,-1.329918,1.964612,-1.088552,0
0.187718,-1.26883,0.359793,-1.441799,-0.810562,0.311887,1.685149,-0.095374,-1.394448,0.433121,0.877612,0.070772,-0.433954,2.198696,0.20612,-1.253733,1.728111,1.392607,-0.061304,-1.392436,-0.12048,-0.359637,-1.049185,1.156616,-2.286528,0
0.727447,0.665004,-1.318182,0.350214,-0.743198,-0.060319,-0.282648,-1.631701,0.438324,0.711297,-0.846075,0.425644,0.291711,1.302372,-0.536936,0.230109,-0.892482,0.077973,-0.993562,-0.708884,-1.022083,-0.656886,-0.628786,0.506406,-0.002886,0
-0.032439,-1.085497,-0.61851,-0.798735,-0.021349,0.319498,-0.606473,-0.639473,0.710782,1.844734,-0.076477,-0.027727,1.022566,-0.046114,0.312854,1.010894,0.200743,-0.306291,1.875334,1.552142,-0.915868,-1.378026,-0.810423,-0.251654,-0.943181,0
-0.532014,0.940995,0.385663,-2.515477,0.787651,0.518028,1.035934,-1.700507,-1.612765,0.132259,0.009103,-2.369438,1.460989,0.592293,-1.347162,-0.870573,1.339363,-0.309738,0.334557,-0.508383,-0.217535,-1.402295,-0.060209,1.166677,-2.314763,0
0.498661,-2.112994,-0.781499,0.862687,0.2033,-0.276801,-0.16166,-0.154048,1.193163,-0.984054,0.208162,0.244101,-0.502666,0.523555,-1.075933,-0.813707,-0.61572,1.577146,-1.499402,-0.38179,0.632896,-0.498112,-0.333223,-0.049294,-1.499062,0
-0.734511,2.022148,-0.332426,-0.18154,0.854708,0.98738,-0.554625,0.337625,0.089449,0.414747,-0.702387,0.965827,0.157218,2.389446,1.671064,0.325697,0.215584,-1.101512,0.943171,1.025041,1.968519,1.088056,0.470987,0.586747,-0.038966,0
0.842083,0.590211,-0.64825,-0.757722,-0.517573,-0.314675,0.024215,-2.864373,0.867089,-0.972445,0.225371,-1.689693,-0.267861,-0.778474,-1.929654,1.566863,1.997361,-0.171478,-0.352948,-0.567547,-1.027084,-0.854845,-2.298394,0.764733,0.677909,0
-0.130517,1.596104,-1.121536,0.418896,0.534046,-2.238777,0.793944,-1.298924,-1.244314,2.236861,-1.219364,-0.461005,2.140497,-0.662709,-1.474263,-0.840633,2.416591,-0.946427,-0.689173,0.840318,1.059055,-1.060329,0.795366,-1.628606,-0.34261,0
-1.769972,0.100475,1.237259,0.480915,0.253802,-0.830453,0.681675,-0.1904,0.828789,0.158732,-1.381515,-0.961675,-0.886553,-0.594926,-1.048399,-0.706255,0.341943,-0.945932,0.365324,1.652431,2.541059,0.154722,-0.170247,1.447271,-2.064352,0
-1.030147,0.908412,1.874136,0.249904,0.166962,0.607066,-1.725837,0.146715,-0.916215,1.648701,-0.64621,0.707601,-0.379575,-0.982917,-0.831083,0.623797,-0.558671,0.640805,-0.593926,-0.591797,2.617028,-0.453706,-1.278758,0.567594,0.619002,0
0.142243,-0.083921,-0.502496,-0.158029,0.378772,-1.019299,0.525657,-1.03478,0.454951,2.278512,-0.189766,0.465021,-1.04416,1.80864,0.906922,0.526038,0.321164,1.077175,0.400492,-0.841492,-0.219046,-0.768654,-1.192036,0.621159,-0.640464,0
0.12489,-0.857369,-1.312087,-0.798244,0.863763,-0.659588,-0.446873,-1.121511,-0.861879,1.277851,1.222461,0.691117,-0.213952,-0.075735,-1.099652,-0.491795,-1.00221,0.374469,0.929604,0.231717,0.294359,0.417071,0.854969,1.498741,0.212589,0
-0.873753,-1.268535,-0.578259,0.238074,0.667894,-0.311871,-0.241553,0.580127,1.124941,0.7501,-0.347592,0.103902,0.710259,0.614226,-0.343632,-0.136916,-0.681395,1.530036,-0.600626,-0.746511,0.521346,-1.889385,-0.416602,0.59257,0.099429,0
-0.024789,-0.727546,-0.403494,-0.879775,1.596585,-0.623877,-1.045855,0.049503,-0.086618,0.301056,2.444492,1.217357,-1.250226,1.024645,-0.436165,0.361128,-0.001669,0.606372,-0.907971,-0.322343,0.159199,0.167611,-0.985854,-1.152698,-0.565425,0
0.196211,-0.185748,-0.770382,0.887075,-1.053429,0.318612,0.047355,0.218955,0.245858,-0.33947,-0.304974,0.256925,0.138293,0.711015,-0.795529,-0.847439,-0.589678,0.043227,-0.325606,-0.25557,-0.671174,0.689959,-0.66268,-0.54673,-0.416309,0
