@relation 'AT: marketing_survey-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute 0.367v11+0.328v6+0.325v5+0.314v13+0.299v12... numeric
@attribute -0.555v3-0.448v4+0.316v11-0.313v2-0.283v5... numeric
@attribute -0.428v12+0.411v8-0.331v13-0.31v2+0.308v9... numeric
@attribute -0.398v2-0.371v10+0.366v6-0.344v9+0.321v5... numeric
@attribute -0.434v1-0.416v7+0.402v4-0.375v2+0.341v10... numeric
@attribute -0.723v14+0.326v11-0.323v13+0.286v12+0.252v7... numeric
@attribute '0.646v1-0.439v7+0.39 v5-0.237v3-0.196v8...' numeric
@attribute -0.427v4-0.419v1+0.365v2+0.355v10+0.337v6... numeric
@attribute 0.488v7-0.434v8+0.404v10+0.334v14-0.317v12... numeric
@attribute '0.55 v9-0.481v11-0.42v8+0.267v7+0.263v12...' numeric
@attribute -0.525v13+0.363v14-0.361v10+0.314v6+0.273v9... numeric
@attribute '0.503v5-0.366v6-0.356v13+0.295v12+0.29 v14...' numeric
@attribute '-0.48v11+0.43 v12+0.366v6+0.36 v10-0.273v5...' numeric
@attribute v15 numeric

@data
-1.453562,-0.0812,0.95097,-0.816205,0.703591,0.642799,-0.06069,0.790325,-0.42014,0.566009,0.091585,0.975893,-1.4842,1
0.784934,0.402772,-0.420659,-0.736945,0.079803,0.613786,0.123242,-0.691746,-0.236031,0.065319,1.487353,-0.698811,-2.116195,2
-0.020665,-0.514473,-0.493432,-0.540301,-0.305649,0.088478,0.370268,-1.055469,-0.727253,-0.336284,-0.582405,0.658208,0.367451,3
-1.963092,-0.697597,-0.175453,-0.27412,-0.066047,0.843074,1.150093,-0.258626,-0.44612,-0.294621,-0.424163,-0.118216,1.069209,1
-1.127979,-0.047682,-0.108958,-0.130476,-0.101935,-2.175045,0.191169,-0.00831,-0.50088,-0.377975,-0.684675,0.061168,-0.156605,2
-0.113325,-0.432751,-0.285727,-0.10958,-0.058977,-1.671336,-0.458118,-0.323984,0.204559,0.927243,0.120927,-0.888111,0.440291,3
-0.666937,0.544533,-0.582989,1.359909,0.476735,-1.11344,-1.313921,-0.713899,-0.385889,0.136686,0.115868,0.340821,-0.375305,1
-2.171001,0.769104,-0.860514,0.934478,0.764932,1.663893,0.137114,-0.892221,-0.2171,-0.397889,0.636254,-0.550387,0.223423,2
-1.298165,0.134371,0.052678,1.319626,0.422573,0.1872,0.260363,-0.929638,0.368635,0.590173,0.046906,-0.463064,-0.492311,3
-1.609712,-0.553172,0.155618,-0.085743,1.557013,-1.063368,-0.040892,0.505412,-0.096484,0.927711,0.12944,-0.254786,-0.730095,1
-1.857398,-0.970324,-0.443086,-1.196565,0.375772,0.654124,0.306268,0.865524,0.091144,-0.101774,0.759116,-0.947169,-0.031286,2
-0.86591,-0.363741,-1.058603,0.284292,0.243638,0.234673,1.689523,0.291976,0.441261,-0.410057,-0.618939,0.212582,0.441426,3
-0.051506,-0.301885,0.068492,-0.329746,0.108522,1.655418,0.512845,0.828687,-0.244843,0.307759,0.242232,0.734518,0.810424,2
-1.012573,0.289442,-0.515452,-0.010445,0.865003,-0.252828,-0.811999,0.041761,-0.58851,-1.443278,-0.031409,0.49091,-0.395609,1
-2.135367,-0.238984,0.295702,-0.939237,-0.914446,0.887857,-0.223852,0.473889,-0.25132,-0.130802,0.679201,-0.441477,-0.448957,2
